Sport,Discipline,Athlete,Rider,Injury,Venue,Track,Date
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"6. Jeremy Martin | GEICO Honda rider is still recovering from the vertebra burst fractures he suffered in the 2018 season; he is expected to return to competition in 2020. 24. Austin Forkner | Monster Energy/Pro Circuit/Kawasaki rider will miss the entire summer with torn ligaments in his knee. 28. Jordon Smith | The Troy Lee Designs/Red Bull/KTM rider could no longer deal with the lingering tendonitis in his wrist from a crash in the Supercross season and will soon undergo surgery to correct the injury; Smith will miss the rest of the summer. 40. Sean Cantrell | Lingering wrist injuries will keep the Troy Lee Designs/Red Bull/KTM rider from the opening rounds of the season. 61. Garrett Marchbanks | The Monster Energy/Pro Circuit/Kawasaki rider is sidelined until further notice after getting banged up in a crash at the High Point round. 64. Jimmy Decotis | Due to a recent restructure at the JGRMX/Yoshimura/Suzuki Factory Racing team, Decotis will not be a part of the two-rider 250 team this summer. 67. Enzo Lopes | Due to a recent restructure at the JGRMX/Yoshimura/Suzuki Factory Racing team, Lopes will not be a part of the two-rider 250 team this summer. 123. Mitchell Falk | A crash during practice at Hangtown left the Troy Lee Designs/Red Bull/KTM rider with a broken collarbone that required surgery; he is out for an undetermined amount of time.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"1. Eli Tomac | The Monster Energy Kawasaki rider is currently tied with Ken Roczen in the championship standings for the top spot. 2. Cooper Webb 4. Blake Baggett 11. Kyle Chisholm | Continues term with JGRMX/Yoshimura/Suzuki Factory Racing team as a fill-in rider while Justin Hill recovers with a shoulder injury and surgery. 14. Cole Seely 16. Zach Osborne | The Rockstar Energy Racing Husqvarna Factory Racing rider is currently tied with teammate Jason Anderson for third in the championship standings. 17. Joey Savatgy 19. Justin Bogle 21. Jason Anderson | The Rockstar Energy Racing Husqvarna Factory Racing rider is currently tied with teammate Zach Osborne for third in the championship standings. 25. Marvin Musquin 29. Benny Bloss 41. Ben LaMay 43. Tyler Bowers 49. Henry Miller 51. Justin Barcia 56. Lorenzo Locurcio 60. Justin Starling 63. John Short 69. Jake Masterpool 80. Heath Harrison 90. Jeremy Hand 94. Ken Roczen | The Team Honda HRC rider is currently tied with Eli Tomac in the championship standings for the top spot. 100. Dirco Van der Westhuizen 101. Fredrik Noren 103. Dean Ferris 107. Jimmy Wicksell 116. TJ Albright 119. Issac Teasdale 125. Luke Neese 129. Ryan Diezic 152. Ryder Hanninen 191. Roberto Castro 214. Vann Martin 217. Cory Gilliam 221. Mathias Jargensen 228. Donny Brown 237. David Costa 238. Ben Robinson 254. Cody Briner 261. Landon Davis 265. Nick Fratz-Orr 268. Mitchel Suire 270. Jacob Runkles 288. Parker Smith 314. Tyler Stepek 319. Coty Schock 332. Dustin Winter 354. Matthew Toth 358. Ivon Hays 402. Samuel Greenawalt 405. Joe LaFalce 412. Jared Lesher 441. Scott Meshey 447. Deven Raper 449. Dakota Kessler 456. Ryan Granton 493. Mason Price 499. Dawson Chesnut 507. Nicholas Tomasunas 513. Aerian Weaver 524. Frank Peneno 531. Aerian Weaver 532. Rocky Cagno 553. Brent Rouse 565. Dominic DeSimone 577. Felix Lopez 591. Tanner Myers 596. Carson Tickle 612. Max Darling 627. Daniel Jaramillo 637. Bobby Piazza 647. Matthew Hubert 661. Noah Chambers 700. Justin Weeks 711. Tristan Lane 718. Toshiki Tomita 727. Bradley Esper 745. Kevin Rookstool 755. Kyle Ianuale 808. Joshua Bock 821. Trevor Tate 829. Taylor VanBeek 878. Eric McKay 927. Jamal Porter 929. Taiki Koga | Independent Japanese rider is dealing with a wrist injury, was unable to finish at High Point due to the pain. 957. Jarrett Thompson",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"7. Aaron Plessinger | A broken heel will sidelined the Monster Energy Yamaha Factory Racing rider through the opening part of the summer. He is slated to return at Southwick. 14. Cole Seely | Team Honda HRC rider is sidelined for the remainder of the summer due to a torn labrum and broken shoulder socket, injuries that required surgery and a three-month recovery. 15. Dean Wilson | A shoulder injury from a crash at the Nashville Supercross will keep the Rockstar Energy Husqvarna Factory Racing rider sidelined through the opening part of the summer. 46. Justin Hill | JGRMX/Yoshimura/Suzuki Factory Racing rider is out for an undetermined amount of time after suffering a recent shoulder injury and necessary surgery. 54. Dylan Merriam | A hard crash at the 2019 Thunder Valley Motocross left the California privateer with a broken collarbone, fractured T1 vertebrae, fractured rib, bruised lung and pulled groin.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"4. Arnaud Tonus | The Monster Energy Wilvo Yamaha rider has finished on the overall podium in the last four rounds of the series; he’s fifth in the series standings. 6. Benoit Paturel 7. Tanel Leok 18. Vsevolod Brylyakov 21. Gautier Paulin 22. Kevin Strijbos | The JWR Yamaha rider is racing despite lingering issues from an elbow injury he sustained earlier in the year. 27. Arminas Jasikonis 33. Julien Lieber 41. Pauls Jonass 62. Klemen Gercar 77. Alessandro Lupino 84. Jeffrey Herlings | The Red Bull KTM rider and defending champion raced Russia and Latvia after time off with an injury, but crashed on the sighting lap in MXGP Moto One in Latvia, was hit by another rider, and suffered a hairline fracture to his lower leg. Despite winning Moto One, he was ruled unfit to race Moto Two. The team has not released any further information on if he will be able to Germany. 89. Jeremy Van Horebeek 91. Jeremy Seewer | The Monster Energy Yamaha Factory MXGP rider has moved third overall in the championship standings. 93. Jonathan Bengtsson 94. Sven Van der Mierden 99. Max Anstie 100. Tommy Searle 108. Stefan Ekerold 128. Ivo Monticelli 152. Petar Petrov 189. Brian Bogers 212. Jeffrey Dewulf 222. Antonio Cairoli | The last few weeks have been rough for the Red Bull KTM rider and a hard crash during MXGP Moto Two in Latvia dislocated his shoulder and left him unable to finish the race. The extent of the injury is uncertain, but Cairoli intends to race in Germany. 243. Tim Gajser | The Team HRC rider has claimed the overall wins at last three rounds and now leads the championship standings by 33 points. 259. Glenn Coldenhoff 297. Anton Gole 321. Samuele Bernardini 330. Austin Root 360. Nathan Dixon 461. Romain Febvre 471. Volodymyr Tarasov 555. Artem Guryev 595. Cedric Grobben 622. Gianluca Di Marziantonio 760. Pascal Rauchenecker 911. Jordi Tixier",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"12. Max Nagl | Despite being on the entry list, a recent hard crash has the KTM Sarholz rider aiming for a return at the MXGP of Germany. 24. Shaun Simpson | A recent hand injury will sideline the RFX KTM rider for an undetermined amount of time. 25. Clement Desalle | A hard crash at the MXGP of Russia left the Monster Energy Kawasaki rider with a broken lower leg; he is out for an undetermined amount of time. 777. Evgeny Bobryshev | The BOS Factory rider suffered a broken lower leg in a crash at the MXGP of Russia. Bobryshev had planned for the Russian race, his home round, to be his last for the year as he was due to undergo surgery for an ongoing wrist injury.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"After months on the sidelines with a serious ankle injury and rehabilitation, then a solid return to action last week at the 2019 MXGP of Russia, Jeffrey Herlings made it clear that the race in Latvia was going to be the “true start” of his year. The defending MXGP champion nabbed the win in Saturday’s qualifying moto, something that came as little surprise considering the track’s sandy soil is Herlings’ specialty, and he looked like the favorite for the day’s two motos. During the sighting lap before MXGP Moto One, Herlings made a small mistake while going over a jump, ejected from his Red Bull KTM, and was down on the landing of the tabletop. While all of that sounds bad, it was his placement on the blind landing that caused the problem and competitor Arminas Jasikonis ran over Herlings’ still sore ankle in his attempt to avoid the downed rider. Herlings managed to get up and went back to the starting line, had the team straighten his motorcycle before the gate dropped, and came out on top after an intense battle with Arnaud Tonus for the top spot. After the race, he visited the on-site medical staff and it was determined that his lower tibia had a hairline fracture. Herlings left the track for further treatment and did not race the second moto. The full extent of the damage is still unclear, but Herlings is on his way back to the Netherlands for a full evaluation and more news will be announced later in the week.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"The last few rounds have been difficult for Antonio Cairoli, as crashes and mistakes have dropped the early point leader to second place in the standings. Saturday’s qualifying moto in Latvia was not ideal for the multi-time champion due to flu symptoms and lingering pain in his arm from a crash last week at the MXGP of Russia, but he pushed through to finish 12th in the qualifying moto. Things took a turn for the worse during a battle for fourth place with Arnaud Tonus MXGP Moto Two and a mistake in the high-speed sand rollers sent Cairoli into a hard crash. His right shoulder took much of the impact and dislocated, which kept him from finishing the moto.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"Social media posts after the race showed Cairoli with his arm in a sling, but a quote in the team’s press release makes it sound like he intends to race the next round in Germany. “I had quite a big crash and when I stood up I felt my shoulder was out. My hope is to be ready to at least start next week in Germany,” he shared in the statement. “I don’t want to give up at all and I want to be there as much as possible for the championship.” With the DNF to title rival Tim Gajser’s win, Cairoli now trails the Team HRC rider by 33-points in the championship standings.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"At the site of his first Grand Prix victory with the KTM 450 SX-F in 2017, Jeffrey Herlings picked up his first Qualification Heat triumph on Saturday for what was just his second appearance of the season. A strange crash on the Sighting Lap of the first moto on Sunday would prove to be costly. Herlings was hit by another rider: his fragile right lower leg taking the brunt of the impact. In some discomfort he produced a fantastic performance to beat Arnaud Tonus and win the race but a scan afterwards revealed a hairline fracture of the lower tibia and the Dutchman left the circuit for medical attention.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"Tony Cairoli was less than 100% due to the effects of a virus and a weakened right shoulder as a consequence of his crash in the Grand Prix of Russia the previous weekend. The nine-times world champion rode to a brilliant 3rd position in the opening moto, giving Red Bull KTM two motorcycles in the top three. The Italian was unlucky to fall in the second race and sustained a dislocated right shoulder, ending his participation.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"Tony Cairoli: “On Saturday I had the Flu and a fever, and my arm was not as strong as I wanted after the crash in Russia. I could battle with the guys for first position in the first moto but then I got a bit tired and settled for third, which was good for the championship. In the second moto I was fourth and trying to follow [Arnaud] Tonus. I had quite a big crash and when I stood up I felt my shoulder was out. My hope is to be ready to at least start next week in Germany. I don’t want to give up at all and I want to be there as much as possible for the championship.”",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"4. Arnaud Tonus | The Monster Energy Wilvo Yamaha rider has finished on the overall podium in the last three rounds of the series; he’s seventh in the series standings. 6. Benoit Paturel 7. Tanel Leok 18. Vsevolod Brylyakov 21. Gautier Paulin | The Monster Energy Wilvo Yamaha Official MXGP rider is currently third overall in the championship standings. 22. Kevin Strijbos | The JWR Yamaha rider is racing despite lingering issues from an elbow injury he sustained earlier in the year. 27. Arminas Jasikonis 33. Julien Lieber 41. Pauls Jonass 45. Santeri Kinnunen 62. Klemen Gercar 77. Alessandro Lupino 84. Jeffrey Herlings | After missing the early part of the season with a foot injury, the Red Bull KTM rider and defending champion returned to action in Russia and went 4-7 for fourth overall. He expects to improve in the coming rounds. 89. Jeremy Van Horebeek | The Team Honda SR rider is racing despite a shoulder injury he sustained at the MXGP of Trentino that required surgery. 91. Jeremy Seewer 99. Max Anstie 100. Tommy Searle 128. Ivo Monticelli 132. Karel Kutsar 151. Harri Kullas 152. Petar Petrov 189. Brian Bogers 212. Jeffrey Dewulf 222. Antonio Cairoli | After a few rough weeks (mistakes in France, a hard crash in Russia) the Red Bull KTM rider has dropped to second in the championship standings. 243. Tim Gajser | The Team HRC rider has claimed the overall wins at last three rounds and now leads the championship standings. 259. Glenn Coldenhoff 291. Matiss Karro 297. Anton Gole 441. Erki Kahro 461. Romain Febvre 471. Volodymyr Tarasov 555. Artem Guryev 595. Cedric Grobben 911. Jordi Tixier",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"12. Max Nagl | Despite being on the entry list, a recent hard crash has the KTM Sarholz rider aiming for a return at the MXGP of Germany. 24. Shaun Simpson | A recent hand injury will sideline the RFX KTM rider for an undetermined amount of time. 25. Clement Desalle | A hard crash at the MXGP of Russia left the Monster Energy Kawasaki rider with a broken lower leg; he is out for an undetermined amount of time. 777. Evgeny Bobryshev | The BOS Factory rider suffered a broken lower leg in a crash at the MXGP of Russia. Bobryshev had planned for the Russian race, his home round, to be his last for the year as he was due to undergo surgery for an ongoing wrist injury.",Features,Features,
motocross,freestyle_motocross,2019 MXGP of Latvia,2019 MXGP of Latvia,"The Monster Energy Kawasaki Racing Team have confirmed the full extent of the leg injury racer Clement Desalle sustained in a brutal crash at the 2019 MXGP of Russia. During an intense battle for position with Jeffrey Herlings in MXGP Moto One, Desalle’s bike hit a rough spot of the track and was kicked forward over the front wheel (the battle and crash is shown in the video below). The crash happened so suddenly and in a fast section of the track, so Desalle had little time to react or counter the mistake and he was spat over the bars and into the hard-packed Russian dirt. It was clear instantly that some sort of substantial injury had occurred and Desalle was taken from the track with the help of the medics, then did not race the day’s second moto.",Features,Features,
motocross,freestyle_motocross,2019 MXGP of Latvia,2019 MXGP of Latvia,"On Thursday, two days before the next round of the 2019 Monster Energy FIM Motocross World Championship, a press release from Monster Energy Kawasaki has confirmed that Desalle broke the tibia and fibula bones in his left leg, fractures that required surgery, and a sprained right ankle. A timetable for recovery has not yet been set, but the verbiage in the press release makes it clear that Desalle will miss a considerable amount of time. Since the 2019 MXGP of Latvia is in the middle of a string of back-to-back rounds in the schedule, the team will not have a replacement rider for the weekend and Julien Lieber will be their lone rider on the track.",Features,Features,
motocross,freestyle_motocross,2019 MXGP of Latvia,2019 MXGP of Latvia,The Russian round of the FIM Motocross World Championship has been a success for Kawasaki during the past two seasons with overall GP victories for Clément Desalle and the Monster Energy Kawasaki Racing Team in the premier MXGP class. Whilst battling again for a podium result last weekend the Belgian had a pretty big crash in the first race and was back on Monday in his homeland to have surgery with Doctor Claes. He underwent successful surgery to his broken left tibia-fibula but he’s also suffering from a right ankle sprain and is now entering a long recovery programme.,Features,Features,
motocross,freestyle_motocross,2019 MXGP of Latvia,2019 MXGP of Latvia,"François Lemariey (team manager): “We were disappointed last weekend when Clément crashed, but hopefully the surgery went Ok and Clément has now start a long recovery program. We can’t say how long he will be out, but the entire team is of course behind him and wish him a good recovery. Now we stay focus alongside Julien, who show in the past GPs’ big improvements and is coming closer to podium results; we are sure that if he can qualify better that will help him on Sunday, and we’re happy to see that the testing sessions we did with him in the past weeks help him to get better results.”",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"After a weekend off, the 2019 Lucas Oil Pro Motocross Championship is set to pick back up with the fourth round of the summer, the 2019 High Point Motocross. This will be the first race of the summer held East of the Mississippi River, so it’s going to be a big change for riders in the way the soil will develop lines and the way the weather will play a part on the day. But we’ll get into all of that in our upcoming Race Preview. For now, have a look at the pre-entry list and injury report for both the 250 and 450 classes. As you’ll see in the rosters below, recent developments have put riders on the sidelines while some return to action from injury, along with a huge surge of East Coast talent to make things interesting…",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"6. Jeremy Martin | GEICO Honda rider is still recovering from the vertebra burst fractures he suffered in the 2018 season; he is expected to return to competition in 2020. 12. Shane McElrath | | The Troy Lee Designs/Red Bull/KTM rider had a hard crash earlier in the week that left him “shaken up” and the team has allowed him the chance to sit out High Point to recover. 24. Austin Forkner | Monster Energy/Pro Circuit/Kawasaki rider will miss the entire summer with torn ligaments in his knee. 28. Jordon Smith | The Troy Lee Designs/Red Bull/KTM rider could no longer deal with the lingering tendonitis in his wrist from a crash in the Supercross season and will soon undergo surgery to correct the injury; Smith will miss the rest of the summer. 40. Sean Cantrell | Lingering wrist injuries will keep the Troy Lee Designs/Red Bull/KTM rider from the opening rounds of the season. 64. Jimmy Decotis | Due to a recent restructure at the JGRMX/Yoshimura/Suzuki Factory Racing team, Decotis will not be a part of the two-rider 250 team this summer. 67. Enzo Lopes | Due to a recent restructure at the JGRMX/Yoshimura/Suzuki Factory Racing team, Lopes will not be a part of the two-rider 250 team this summer. 123. Mitchell Falk | A crash during practice at Hangtown left the Troy Lee Designs/Red Bull/KTM rider with a broken collarbone that required surgery; he is out for an undetermined amount of time.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"1. Eli Tomac | The Monster Energy Kawasaki rider is currently second in the championship standings. 2. Cooper Webb 4. Blake Baggett 11. Kyle Chisholm | Joins JGRMX/Yoshimura/Suzuki Factory Racing team on a week-to-week basis while Justin Hill deals with a shoulder injury. 14. Cole Seely 16. Zach Osborne | The Rockstar Energy Racing Husqvarna Factory Racing rider is currently third in the championship standings. 17. Joey Savatgy 19. Justin Bogle | After being initially hired by the Rocky Mountain ATV-MC/WPS/KTM team as a fill-in rider for the 2019 Supercross season, Bogle has a spot on the squad for the rest of the year. 21. Jason Anderson 25. Marvin Musquin 29. Benny Bloss | A torn ACL in December kept Bloss from racing any of the Supercross season. The Rocky Mountain ATV-MC/WPS/KTM rider will make his return to action at High Point. 41. Ben LaMay 43. Tyler Bowers 49. Henry Miller 51. Justin Barcia 56. Lorenzo Locurcio 60. Justin Starling 69. Jake Masterpool 80. Heath Harrison 90. Jeremy Hand 94. Ken Roczen 100. Dirco Van der Westhuizen 101. Fredrik Noren 103. Dean Ferris 119. Issac Teasdale 124. Robert Fitch 125. Luke Neese 152. Ryder Hanninen 207. Ronnie Demorest 222. Brandon Hugney 227. Cory Gilliam 243. Hunter Braun 254. Cody Briner 261. Landon Davis 263. Rece Campbell 265. Nick Fratz-Orr 270. Jacob Runkles 273. Noah Vislosky 279. Timothy Crosby 312. Chris Makuta 314. Tyler Stepek 324. James Cooper 351. Eric Grondahl 354. Matthew Toth 402. Samuel Greenawalt 437. Charles Bright 447. Deven Raper 463. Levi Kilbarger 468. Austin Walker 489. Ricci Randanella 493. Mason Price 499. Dawson Chesnut 504. Gregory Hutchinson 511. Charles Wernig 513. Aerian Weaver 524. Frank Peneno 553. Brent Rouse 566. Jacob Rose 577. Felix Lopez 591. Tanner Myers 595. Michael Kitzmiller 596. Carson Tickle 600. Connor Olson 609. Leo Demastry 612. Max Darling 624. Garrett Smith 637. Bobby Piazza 647. Matthew Hubert 664. Hunter Stempel 673. Landon Armbruster 700. Justin Weeks 718. Toshiki Tomita 724. Jason McConnell 727. Bradley Esper 731. Steve Roman 750. Gavin Chinn 763. James Henshaw 788. Josh Heintz 804. Cole Robbins 811. Christopher Williams 827. Blake Ovitt 829. Taylor VanBeek 878. Eric McKay 927. Jamal Porter 929. Taiki Koga 957. Jarrett Thompson",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"7. Aaron Plessinger | A broken heel will sideline the Monster Energy Yamaha Factory Racing rider through the opening part of the summer. 15. Dean Wilson | A shoulder injury from a crash at the Nashville Supercross will keep the Rockstar Energy Husqvarna Factory Racing rider sidelined through the opening part of the summer. 33. Josh Grant | A practice crash and injured leg at the end of the Supercross season has sidelined Monster Energy Yamaha Factory Racing’s original fill-in rider; there is no timetable for Grant’s return to action. 46. Justin Hill | JGRMX/Yoshimura/Suzuki Factory Racing rider is on a “week-to-week” basis after suffering a recent shoulder injury. 54. Dylan Merriam | A hard crash at the 2019 Thunder Valley Motocross left the California privateer with a broken collarbone, fractured T1 vertebrae, fractured rib, bruised lung and pulled groin.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"4. Arnaud Tonus | The Monster Energy Wilvo Yamaha rider has finished third place overall in the last two rounds of the series; he’s now seventh in the series standings. 6. Benoit Paturel 7. Tanel Leok 18. Vsevolod Brylyakov 21. Gautier Paulin | The Monster Energy Wilvo Yamaha Official MXGP rider is currently third overall in the championship standings. 22. Kevin Strijbos | The JWR Yamaha rider is racing despite lingering issues from an elbow injury he sustained earlier in the year. 24. Shaun Simpson 25. Clement Desalle 27. Arminas Jasikonis 33. Julien Lieber 41. Pauls Jonass 77. Alessandro Lupino 84. Jeffrey Herlings | After missing the early part of the season with a foot injury, the Red Bull KTM rider and defending champion will return to action in Russia. 89. Jeremy Van Horebeek | The Team Honda SR rider is racing despite a shoulder injury he sustained at the MXGP of Trentino that required surgery. 91. Jeremy Seewer 99. Max Anstie | After missing multiple rounds with injury, the Standing Construct KTM rider will return to action in Russia. 100. Tommy Searle 129. Ivo Monticelli 152. Petar Petrov 189. Brian Bogers 222. Antonio Cairoli | The Red Bull KTM rider is currently leading the championship standings. 243. Tim Gajser | The Team HRC rider is currently second overall in the championship standings. 259. Glenn Coldenhoff 291. Matiss Karro 297. Anton Gole 321. Samuele Bernardini 461. Romain Febvre 471. Volodymyr Tarasov 555. Artem Guryev 595. Cedric Grobben 599. Evgeny Mikhaylov 777. Evgeny Bobryshev 911. Jordi Tixier",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"12. Max Nagl | Despite being on the entry list, a recent hard crash has the KTM Sarholz rider aiming for a return at the MXGP of Germany. 24. Shaun Simpson | A recent hand injury will sideline the RFX KTM rider for an undetermined amount of time.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"12. Shane McElrath | | The Troy Lee Designs/Red Bull/KTM rider is still dealing with lingering issues in his lower back from the Supercross season. 23. Chase Sexton 26. Alex Martin 28. Jordon Smith | The Troy Lee Designs/Red Bull/KTM rider is still dealing with lingering issues in his wrist from a crash in the Supercross season. 31. RJ Hampshire 32. Justin Cooper 34. Dylan Ferrandis 36. Michael Mosiman 38. Christian Craig 39. Colt Nichols 45. Brandon Hartranft 52. Jordan Bailey 55. Kyle Peters 59. Nick Gaines 61. Garrett Marchbanks 72. Martin Castelo 73. Martin Davalos 77. Challen Tennant 83. Killian Auberson 91. Zack Williams 92. Adam Cianciarulo | With overall wins at Hangtown and Fox Raceway, the Monster Energy/Pro Circuit/Kawasaki rider leads the championship standings. 110. Yusuke Watanabe | A hard crash in 250 Moto One left the CycleTrader/Rock River Yamaha rider with a concussion; although he is on the entry list, we’re not certain if he will race Thunder Valley. 112. Thomas Covington 122. Chris Howell 127. Jacob Bork 136. Josh Philbrick 139. Nathan LaPorte 154. Chase Felong 156. Jacob Hayes 162. Maxwell Sanford 167. Cody Williams 168. Cale Kuchnicki 173. Grant Wall 186. Tyler Monks 194. Jerry Robin 196. Hunter Lawrence 212. Tyler McCoy 232. Dylan Bolinger 233. Derek Drake 240. Andrew Barros 259. Corbin Hayes 268. Mitchel Suire 269. Dalton Dyer 286. Brandon Sussman 291. Zane Merrett 310. Kai Aiello 340. Blake Taylor 345. Joshua Prior 407. Benjamin Nelko 410. Tyler Lowe 464. Branden Brill 510. Travis Prier 520. Dennis Ponton 529. Taylor Strauss 546. Tylor Skodras 554. Wade Brommel 583. Corey Ridel 622. Zac Maley 657. Justin Wolf 747. Cody Gray 753. Derik Brewster 898. Jack Fowler 916. Jorge Rubalcava 931. Stephen Vuckson 936. Ty Masterpool 964. Mitchell Goheen",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"6. Jeremy Martin | GEICO Honda rider is still recovering from the vertebra burst fractures he suffered in the 2018 season; he is expected to return to competition in 2020. 24. Austin Forkner | Monster Energy/Pro Circuit/Kawasaki rider will miss the entire summer with torn ligaments in his knee. 40. Sean Cantrell | Lingering wrist injuries will keep the Troy Lee Designs/Red Bull/KTM rider from the opening rounds of the season. 44. Cameron McAdoo | With his Supercross fill-in deal at GEICO Honda complete and no confirmed spot on another team, McAdoo will miss the opening rounds. He is still riding a bike from GEICO Honda as a way to stay sharp should the team need him later in the summer. 64. Jimmy Decotis | Due to a recent restructure at the JGRMX/Yoshimura/Suzuki Factory Racing team, Decotis will not be a part of the two-rider 250 team this summer. 66. Mitchell Oldenburg | Third-degree burns from a crash at the 2019 Las Vegas Supercross will keep the Monster Energy/Star Racing/Yamaha rider from the opening round of the season. 67. Enzo Lopes | Due to a recent restructure at the JGRMX/Yoshimura/Suzuki Factory Racing team, Lopes will not be a part of the two-rider 250 team this summer. 123. Mitchell Falk | A crash during practice at Hangtown left the Troy Lee Designs/Red Bull/KTM rider with a broken collarbone that required surgery; he is out for an undetermined amount of time.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"1. Eli Tomac | With his overall win at Fox Raceway, the Monster Energy Kawasaki rider leads the championship standings. 2. Cooper Webb 4. Blake Baggett | A rough day at Fox Raceway left Baggett with a sore wrist; the Rocky Mountain ATV-MC/WPS/KTM rider will be on the track at Thunder Valley. 14. Cole Seely 16. Zach Osborne 17. Joey Savatgy | After injury caused him to miss the first two races of the season, the Monster Energy Kawasaki rider will make his 450 MX debut at Thunder Valley. 19. Justin Bogle 21. Jason Anderson 25. Marvin Musquin 41. Ben LaMay 43. Tyler Bowers 46. Justin Hill 48. Cody Cooper 49. Henry Miller 51. Justin Barcia | | The Monster Energy Yamaha Factory Racing rider is still dealing with lingering issues in his wrist from a crash in the Supercross season. 54. Dylan Merriam 56. Lorenzo Locurcio 68. Brandan Leith 69. Jake Masterpool 85. Dare DeMartile 94. Ken Roczen 101. Fredrik Noren 103. Dean Ferris 120. Todd Bannister 124. Robert Fitch 140. Austin Kouba 152. Ryder Hanninen 182. Mason Olson 214. Vann Martin 218. Erki Kahro 221. Mathias Jargensen 227. Derek Kelley 229. Francisco Martini 246. Chance Blackburn 292. Kolton Dean 311. Mitchell Gifford 314. Tyler Stepek 321. Bradley Lionnet 322. Trey Moore 332. Dustin Winter 341. Derek Anderson 383. Casey Brennan 402. Samuel Greenawalt 447. Deven Raper 456. Ryan Grantom 477. Todd Waters 499. Dawson Chesnut 514. Anthony Roth 526. Colton Aeck 553. Brent Rouse 565. Dominic DeSimone 591. Tanner Myers 623. Joshua Hernandez 647. Matthew Hubert 661. Noah Chambers 694. Nicholas Inman 700. Justin Weeks 718. Toshiki Tomita 721. Zachary Harris 768. Cole Shondeck 788. Josh Heintz 794. Bryce Backaus 841. Jeff Walker 875. Johnny Hopper 876. Chris Alldredge 917. Drew Thomas 929. Taiki Koga 959. Josef DeBower 981. Curren Thurman",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"7. Aaron Plessinger | A broken heel will sideline the Monster Energy Yamaha Factory Racing rider through the opening part of the summer. 15. Dean Wilson | A shoulder injury from a crash at the Nashville Supercross will keep the Rockstar Energy Husqvarna Factory Racing rider sidelined through the opening part of the summer. 29. Benny Bloss | A torn ACL in December kept Bloss from racing any of the Supercross season; although he is back on the bike, he is not yet ready to race. The Rocky Mountain ATV-MC/WPS/KTM rider is expected to return at High Point. 33. Josh Grant | A practice crash and injured leg at the end of the Supercross season has sidelined Monster Energy Yamaha Factory Racing’s original fill-in rider; there is no timetable for Grant’s return to action.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"Thanks for the update, it would be cool to maybe add a check-in with some of the injured riders to see how their doing and what their up to.",Features,Features,
motocross,freestyle_motocross,Unknown Athlete,Unknown Athlete,"Monster Energy Kawasaki has announced that Joey Savatgy will return to competition this weekend at the 2019 Thunder Valley Motocross, round three of the 2019 Lucas Oil Pro Motocross Championship. Hard crashes through the end of the 2019 Monster Energy Supercross Series had taken their toll on the first-year 450 rider (a hematoma to his thigh from a practice crash at the Las Vegas round was one of the bigger issues), but solid finishes and consistency in the middle of the season kept him ranked within the top-10 of the championship standings and he earned the 450 Rookie of the Year honors.",Features,Features,
