Rider,Injury,Track,Date
Drew Adams,Finger,Southwick,2025-06-26
Max Anstie,Leg,Southwick,2025-06-26
Daxton Bennick,"Concussion, Back",Southwick,2025-06-26
Pierce Brown,Back,Southwick,2025-06-26
Trevor Colip,"Femur, Stroke",Southwick,2025-06-26
Cole Davies,"Arm, Nose",Southwick,2025-06-26
Evan Ferry,Achilles,Southwick,2025-06-26
Chance Hymas,Achilles,Southwick,2025-06-26
Cameron McAdoo,Knee,Southwick,2025-06-26
Jace Kessler,Collarbone,Southwick,2025-06-26
Kayden Minear,Thumb,Southwick,2025-06-26
Carson Mumford,Ankle,Southwick,2025-06-26
Jett Reynolds,Leg,Southwick,2025-06-26
Stilez Robertson,Wrist,Southwick,2025-06-26
Gavin Towers,Knee,Southwick,2025-06-26
Jason Anderson,Knee,Anderson Jalek Swoll,2025-06-12
Justin Barcia,Knee,Anderson Jalek Swoll,2025-06-12
Dylan Ferrandis,Leg,Anderson Jalek Swoll,2025-06-12
Grant Harlan,Ribs,Anderson Jalek Swoll,2025-06-12
Chase Sexton,Banged Up,Anderson Jalek Swoll,2025-06-12
Max Anstie,Leg,Anderson Jalek Swoll,2025-06-12
Daxton Bennick,"Concussion, Back",Anderson Jalek Swoll,2025-06-12
Pierce Brown,Back,Anderson Jalek Swoll,2025-06-12
Trevor Colip,"Femur, Stroke",Anderson Jalek Swoll,2025-06-12
Cole Davies,"Arm, Nose",Anderson Jalek Swoll,2025-06-12
Evan Ferry,Achilles,Anderson Jalek Swoll,2025-06-12
Seth Hammaker,Banged Up,Anderson Jalek Swoll,2025-06-12
Cameron McAdoo,Knee,Anderson Jalek Swoll,2025-06-12
Carson Mumford,Ankle,Anderson Jalek Swoll,2025-06-12
Jett Reynolds,Leg,Anderson Jalek Swoll,2025-06-12
Stilez Robertson,Wrist,Anderson Jalek Swoll,2025-06-12
Jalek Swoll,Achilles,Anderson Jalek Swoll,2025-06-12
Justin Cooper,Collarbone,Las Vegas,2024-09-19
Derek Kelley,Banged Up,Las Vegas,2024-09-19
Daxton Bennick,General Health,Las Vegas,2024-09-19
Casey Cochran,"Arm, Knee",Las Vegas,2024-09-19
RJ Hampshire,Banged Up,Las Vegas,2024-09-19
Chance Hymas,Knee,Las Vegas,2024-09-19
Carson Mumford,Leg,Las Vegas,2024-09-19
Dilan Schwartz,Wrist,Las Vegas,2024-09-19
Jalek Swoll,"Head, Banged Up",Las Vegas,2024-09-19
Nate Thrasher,Leg,Las Vegas,2024-09-19
Jason Anderson,Banged Up,Andersons Back,2024-09-12
Justin Barcia,Banged Up,Andersons Back,2024-09-12
Daxton Bennick,General Health,Andersons Back,2024-09-12
Casey Cochran,Arm Knee,Andersons Back,2024-09-12
Dilan Schwartz,Wrist,Andersons Back,2024-09-12
Jalek Swoll,"Head, Banged Up",Andersons Back,2024-09-12
Nate Thrasher,Leg,Andersons Back,2024-09-12
Justin Barcia,"Knees, Hamstring",SMX Playoffs,2024-09-05
Dylan Ferrandis,"Neck, Thumb",SMX Playoffs,2024-09-05
Jett Lawrence,Thumb,SMX Playoffs,2024-09-05
Cooper Webb,Thumb,SMX Playoffs,2024-09-05
Casey Cochran,Arm,SMX Playoffs,2024-09-05
Cameron McAdoo,Shoulder,SMX Playoffs,2024-09-05
Jett Reynolds,Collarbone,SMX Playoffs,2024-09-05
Dilan Schwartz,Wrist,SMX Playoffs,2024-09-05
Jo Shimoda,Collarbone,SMX Playoffs,2024-09-05
Nate Thrasher,Collarbone,SMX Playoffs,2024-09-05
Justin Barcia,Knees,Ironman,2024-08-22
Derek Drake,Back,Ironman,2024-08-22
James Harrington,Shoulder,Ironman,2024-08-22
Jett Lawrence,Thumb,Ironman,2024-08-22
Cooper Webb,Thumb,Ironman,2024-08-22
Max Anstie,Banged Up,Ironman,2024-08-22
Casey Cochran,Arm,Ironman,2024-08-22
Guillem Farres,Femur&nbsp;,Ironman,2024-08-22
Austin Forkner,"Spine, Scapula",Ironman,2024-08-22
Seth Hammaker,Shoulder,Ironman,2024-08-22
Devin Harriman,"Back, Arm",Ironman,2024-08-22
Bailey Kroone,Leg,Ironman,2024-08-22
Jeremy Martin,Concussion,Ironman,2024-08-22
Cameron McAdoo,Shoulder,Ironman,2024-08-22
Michael Mosiman,Neck,Ironman,2024-08-22
Jett Reynolds,Collarbone,Ironman,2024-08-22
Dilan Schwartz,Wrist,Ironman,2024-08-22
Stilez Robertson,Wrist,Ironman,2024-08-22
Jo Shimoda,Collarbone,Ironman,2024-08-22
Nate Thrasher,Collarbone,Ironman,2024-08-22
Max Vohland,Hip,Ironman,2024-08-22
Justin Barcia,Knees,Budds Creek,2024-08-15
Derek Drake,Back,Budds Creek,2024-08-15
James Harrington,Shoulder,Budds Creek,2024-08-15
Jett Lawrence,Thumb,Budds Creek,2024-08-15
Eli Tomac,Thumb,Budds Creek,2024-08-15
Cooper Webb,Thumb,Budds Creek,2024-08-15
Casey Cochran,Arm,Budds Creek,2024-08-15
Guillem Farres,Femur&nbsp;,Budds Creek,2024-08-15
Austin Forkner,"Spine, Scapula",Budds Creek,2024-08-15
Seth Hammaker,Shoulder,Budds Creek,2024-08-15
RJ Hampshire,Wrist,Budds Creek,2024-08-15
Devin Harriman,"Back, Arm",Budds Creek,2024-08-15
Chance Hymas,Banged Up,Budds Creek,2024-08-15
Bailey Kroone,Leg,Budds Creek,2024-08-15
Jeremy Martin,Concussion,Budds Creek,2024-08-15
Cameron McAdoo,Shoulder,Budds Creek,2024-08-15
Michael Mosiman,Neck,Budds Creek,2024-08-15
Jett Reynolds,Collarbone,Budds Creek,2024-08-15
Dilan Schwartz,Wrist,Budds Creek,2024-08-15
Stilez Robertson,Wrist,Budds Creek,2024-08-15
Jo Shimoda,Collarbone,Budds Creek,2024-08-15
Nate Thrasher,Collarbone,Budds Creek,2024-08-15
Max Vohland,Hip,Budds Creek,2024-08-15
Justin Barcia,Knees,Unadilla,2024-08-08
Derek Drake,Back,Unadilla,2024-08-08
Jett Lawrence,Thumb,Unadilla,2024-08-08
Jerry Robin,Shoulder,Unadilla,2024-08-08
Ken Roczen,&nbsp;– Knee,Unadilla,2024-08-08
Eli Tomac,Thumb,Unadilla,2024-08-08
Cooper Webb,Thumb,Unadilla,2024-08-08
Guillem Farres,Femur&nbsp;,Unadilla,2024-08-08
Austin Forkner,"Spine, Scapula",Unadilla,2024-08-08
Seth Hammaker,Shoulder,Unadilla,2024-08-08
RJ Hampshire,Wrist,Unadilla,2024-08-08
Devin Harriman,"Back, Arm",Unadilla,2024-08-08
Bailey Kroone,Leg,Unadilla,2024-08-08
Jeremy Martin,Concussion,Unadilla,2024-08-08
